path,project_name,github_url
data/awesome/g3log,g3log,https://github.com/KjellKod/g3log
data/awesome/GamePlay,GamePlay,https://github.com/gameplay3d/GamePlay
data/awesome/ggml,ggml,https://github.com/ggerganov/ggml
data/awesome/gil,gil,https://github.com/boostorg/gil
data/awesome/glaze,glaze,https://github.com/stephenberry/glaze
data/awesome/glfw,glfw,https://github.com/glfw/glfw
data/awesome/glfwpp,glfwpp,https://github.com/janekb04/glfwpp
data/awesome/glm,glm,https://github.com/g-truc/glm
data/awesome/glog,glog,https://github.com/google/glog
data/awesome/googletest,googletest,https://github.com/google/googletest
data/awesome/graaf,graaf,https://github.com/bobluppes/graaf
data/awesome/grit-engine,grit-engine,https://github.com/grit-engine/grit-engine
data/awesome/gromacs,gromacs,https://github.com/gromacs/gromacs
data/awesome/grpc,grpc,https://github.com/grpc/grpc
data/awesome/GTS-GamesTaskScheduler,GTS-GamesTaskScheduler,https://github.com/GameTechDev/GTS-GamesTaskScheduler
data/awesome/h2o,h2o,https://github.com/h2o/h2o
data/awesome/haclog,haclog,https://github.com/MuggleWei/haclog
data/awesome/halley,halley,https://github.com/amzeratul/halley
data/awesome/hana-cppnow-2015,hana-cppnow-2015,https://github.com/ldionne/hana-cppnow-2015
data/awesome/happly,happly,https://github.com/nmwsharp/happly
data/awesome/harfang3d,harfang3d,https://github.com/harfang3d/harfang3d
data/awesome/harfbuzz,harfbuzz,https://github.com/harfbuzz/harfbuzz
data/awesome/hashmap,hashmap,https://github.com/goossaert/hashmap
data/awesome/hat-trie,hat-trie,https://github.com/Tessil/hat-trie
data/awesome/hdoc,hdoc,https://github.com/hdoc/hdoc
data/awesome/heatshrink,heatshrink,https://github.com/atomicobject/heatshrink
data/awesome/hedley,hedley,https://github.com/nemequ/hedley
data/awesome/HEhub,HEhub,https://github.com/primihub/HEhub
data/awesome/hiberlite,hiberlite,https://github.com/paulftw/hiberlite
data/awesome/hiredis,hiredis,https://github.com/redis/hiredis
data/awesome/Hoard,Hoard,https://github.com/emeryberger/Hoard
data/awesome/hopscotch-map,hopscotch-map,https://github.com/Tessil/hopscotch-map
data/awesome/Horde3D,Horde3D,https://github.com/horde3d/Horde3D
data/awesome/hpx,hpx,https://github.com/STEllAR-GROUP/hpx
data/awesome/http-parser,http-parser,https://github.com/nodejs/http-parser
data/awesome/hyperscan,hyperscan,https://github.com/intel/hyperscan
data/awesome/ice,ice,https://github.com/zeroc-ice/ice
data/awesome/icecream-cpp,icecream-cpp,https://github.com/renatoGarcia/icecream-cpp
data/awesome/iceoryx,iceoryx,https://github.com/eclipse-iceoryx/iceoryx
data/awesome/ichor,ichor,https://github.com/volt-software/ichor
data/awesome/iguana,iguana,https://github.com/qicosmos/iguana
data/awesome/iir1,iir1,https://github.com/berndporr/iir1
data/awesome/ikos,ikos,https://github.com/NASA-SW-VnV/ikos
data/awesome/imgui,imgui,https://github.com/ocornut/imgui
data/awesome/imtui,imtui,https://github.com/ggerganov/imtui
data/awesome/incubator-kvrocks,incubator-kvrocks,https://github.com/apache/incubator-kvrocks
